Location,Region,Year,Month Number,Month Name,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
Mumbai,West,2023,2,February,15,10:00,143,334,276,14,77,,160,c_Unhealthy_for_Sensitive_Groups
